Port Name,State,Port Code,Border,Date,Measure,Value,Latitude,Longitude,Point
Limestone,Maine,0118,US-Canada Border,Mar 2019,Personal Vehicle Passengers,1751,46.925,-67.790,POINT (-67.789597 46.924555)
Sault Sainte Marie,Michigan,3803,US-Canada Border,Nov 2018,Bus Passengers,546,46.509,-84.361,POINT (-84.360833 46.508611)
Sault Sainte Marie,Michigan,3803,US-Canada Border,Jul 2018,Personal Vehicles,73328,46.509,-84.361,POINT (-84.360833 46.508611)
Lukeville,Arizona,2602,US-Mexico Border,Mar 2020,Personal Vehicle Passengers,73412,31.880,-112.817,POINT (-112.817077 31.880195)
Calexico East,California,2507,US-Mexico Border,Jul 2019,Train Passengers,19,32.673,-115.388,POINT (-115.388018 32.673389)
Jackman,Maine,0104,US-Canada Border,Apr 2020,Trucks,4966,45.806,-70.397,POINT (-70.396722 45.805661)
Port Huron,Michigan,3802,US-Canada Border,May 2019,Truck Containers Empty,17107,42.999,-82.424,POINT (-82.423611 42.998611)
Highgate Springs,Vermont,0212,US-Canada Border,Sep 2019,Personal Vehicle Passengers,89766,45.015,-73.085,POINT (-73.085037 45.015414)
Beecher Falls,Vermont,0206,US-Canada Border,Nov 2017,Personal Vehicle Passengers,5352,45.013,-71.505,POINT (-71.505309 45.013411)
Nogales,Arizona,2604,US-Mexico Border,Oct 2018,Truck Containers Empty,5119,31.333,-110.943,POINT (-110.942516 31.332839)
Danville,Washington,3012,US-Canada Border,Sep 2017,Truck Containers Empty,87,49.000,-118.504,POINT (-118.503722 49.000083)
Northgate,North Dakota,3406,US-Canada Border,Apr 2018,Truck Containers Loaded,422,48.999,-102.275,POINT (-102.27475 48.998833)
Blaine,Washington,3004,US-Canada Border,Jun 2018,Truck Containers Empty,8497,48.994,-122.749,POINT (-122.748884 48.994045)
Progreso,Texas,2309,US-Mexico Border,Mar 2018,Personal Vehicle Passengers,269407,26.062,-97.950,POINT (-97.949958 26.062133)
Pembina,North Dakota,3401,US-Canada Border,Oct 2019,Personal Vehicles,19329,49.000,-97.237,POINT (-97.237036 49.000453)
Point Roberts,Washington,3017,US-Canada Border,Jan 2020,Bus Passengers,540,49.002,-123.068,POINT (-123.068055556 49.0020555547)
Calais,Maine,0115,US-Canada Border,Jun 2020,Truck Containers Empty,1818,45.189,-67.275,POINT (-67.275381 45.188548)
Cross Border Xpress,California,2582,US-Mexico Border,Mar 2019,Pedestrians,121176,32.548,-116.974,POINT (-116.974462 32.54834)
Richford,Vermont,0203,US-Canada Border,Jun 2018,Truck Containers Loaded,82,45.012,-72.589,POINT (-72.588559 45.01174)
Norton,Vermont,0211,US-Canada Border,Sep 2019,Trucks,949,45.011,-71.793,POINT (-71.793219 45.010771)
Columbus,New Mexico,2406,US-Mexico Border,Dec 2018,Trucks,1663,31.784,-107.628,POINT (-107.627948 31.783742)
Lukeville,Arizona,2602,US-Mexico Border,Jun 2019,Personal Vehicle Passengers,133395,31.880,-112.817,POINT (-112.817077 31.880195)
Fort Kent,Maine,0110,US-Canada Border,Sep 2017,Truck Containers Loaded,20,47.249,-68.604,POINT (-68.603918 47.249206)
Sweetgrass,Montana,3310,US-Canada Border,Mar 2020,Truck Containers Empty,2356,48.998,-111.960,POINT (-111.959611 48.998388)
Detroit,Michigan,3801,US-Canada Border,Jul 2019,Trucks,120143,42.332,-83.048,POINT (-83.047924 42.331685)
Sumas,Washington,3009,US-Canada Border,Aug 2017,Truck Containers Empty,3832,49.002,-122.265,POINT (-122.264805 49.002388)
